t, vel_x_des, vel_x_act, vel_y_des, vel_y_act, w_des, w_act, zero, roll, pitch, height_target, height, z_left, z_right
0.162,0,-0.00812602,0,0.016145,0,0.0614467,0,-0.000787674,0.00696071,0.643,0.632599,-0.00381806,-0.00400568
0.164,0,-0.00828224,0,0.0153553,0,0.0581672,0,-0.000785749,0.00594401,0.643,0.633097,-0.00375285,-0.00394793
0.166,0,-0.00847589,0,0.0145645,0,0.0548484,0,-0.00078392,0.00496226,0.643,0.633607,-0.0036895,-0.0038901
0.168,0,-0.00870628,0,0.0137725,0,0.0514936,0,-0.000782201,0.00400818,0.643,0.63413,-0.00362816,-0.00383263
0.17,0,-0.00897226,0,0.0129794,0,0.0481059,0,-0.000780603,0.00307468,0.643,0.634665,-0.00356889,-0.0037758
0.172,0,-0.00927225,0,0.012185,0,0.0446881,0,-0.000779131,0.00215494,0.643,0.635213,-0.00351176,-0.00371988
0.174,0,-0.00960434,0,0.0113896,0,0.0412431,0,-0.000777786,0.00124239,0.643,0.635773,-0.0034568,-0.00366506
0.176,0,-0.00996634,0,0.0105932,0,0.0377737,0,-0.000776566,0.000330738,0.643,0.636346,-0.00340404,-0.00361152
0.178,0,-0.0103558,0,0.00979581,0,0.0342827,0,-0.000775466,-0.000586002,0.643,0.63693,-0.00335347,-0.00355938
0.18,0,-0.0107701,0,0.00899768,0,0.0307726,0,-0.000774479,-0.00151352,0.643,0.637527,-0.00330511,-0.00350876
0.182,0,-0.0112064,0,0.00819895,0,0.0272461,0,-0.000773596,-0.00245721,0.643,0.638135,-0.00325894,-0.00345974
0.184,0,-0.0105743,0,0.0072659,0,0.0241861,0,-0.000772845,-0.00336505,0.643,0.638744,-0.0032142,-0.00341145
0.186,0,-0.0100277,0,0.0063305,0,0.0210855,0,-0.000772243,-0.00418751,0.643,0.63934,-0.00317026,-0.00336319
0.188,0,-0.00956199,0,0.00539308,0,0.0179488,0,-0.000771763,-0.00493455,0.643,0.639924,-0.00312745,-0.00331541
0.19,0,-0.00917281,0,0.00446501,0,0.0149013,0,-0.00077138,-0.00561568,0.643,0.640497,-0.00308603,-0.00326848
0.192,0,-0.00885621,0,0.00359542,0,0.0123455,0,-0.00077107,-0.00623999,0.643,0.641059,-0.0030462,-0.0032227
0.194,0,-0.00860731,0,0.00286139,0,0.0102672,0,-0.000770843,-0.00681606,0.643,0.641609,-0.00300812,-0.00317833
0.196,0,-0.00842111,0,0.00217224,0,0.00854355,0,-0.000770703,-0.00735204,0.643,0.642148,-0.00297191,-0.00313558
0.198,0,-0.00829274,0,0.00151011,0,0.00710891,0,-0.000770633,-0.00785559,0.643,0.642677,-0.00293769,-0.00309464
0.2,0,-0.00821746,0,0.000870553,0,0.00591453,0,-0.000770617,-0.0083339,0.643,0.643194,-0.00290553,-0.00305564
0.202,0,-0.00819067,0,0.00024976,0,0.00491998,0,-0.000770641,-0.00879368,0.643,0.643701,-0.00287552,-0.00301872
0.204,0,-0.00771616,0,-0.000174736,0,0.00411667,0,-0.000771678,-0.0092295,0.643,0.644196,-0.00284745,-0.00298399
0.206,0,-0.00729653,0,-0.000588641,0,0.00345161,0,-0.000774634,-0.00963568,0.643,0.644676,-0.00282115,-0.00295154
0.208,0,-0.00692712,0,-0.000995604,0,0.00290078,0,-0.000779263,-0.0100179,0.643,0.645141,-0.00279676,-0.0029215
0.21,0,-0.00660349,0,-0.00139826,0,0.00244402,0,-0.000785,-0.0103814,0.643,0.645592,-0.0027744,-0.00289396
0.212,0,-0.00632144,0,-0.00179742,0,0.00206506,0,-0.00079129,-0.0107311,0.643,0.646028,-0.00275415,-0.002869
0.214,0,-0.00607702,0,-0.00219376,0,0.00175049,0,-0.00079767,-0.0110712,0.643,0.64645,-0.00273607,-0.00284669
0.216,0,-0.0058665,0,-0.00258526,0,0.00148917,0,-0.000803757,-0.0114058,0.643,0.646857,-0.00272023,-0.00282708
0.218,0,-0.00568644,0,-0.00295572,0,0.00127175,0,-0.00080935,-0.0117385,0.643,0.647251,-0.00270666,-0.00281019
0.22,0,-0.00553357,0,-0.00330467,0,0.00109094,0,-0.00081439,-0.0120724,0.643,0.64763,-0.00269538,-0.00279604
0.222,0,-0.00540485,0,-0.00363306,0,0.000940711,0,-0.000818829,-0.0124102,0.643,0.647996,-0.00268638,-0.00278463
0.224,0,-0.00488904,0,-0.00359936,0,0.000785688,0,-0.000822883,-0.0127476,0.643,0.648348,-0.00267957,-0.00277632
0.226,0,-0.00440753,0,-0.00355823,0,0.000660015,0,-0.000826768,-0.0130799,0.643,0.648688,-0.00267481,-0.00277139
0.228,0,-0.00395706,0,-0.00350995,0,0.000558826,0,-0.000830457,-0.0134096,0.643,0.649016,-0.00267202,-0.0027696
0.23,0,-0.00353455,0,-0.00345478,0,0.000478115,0,-0.000833929,-0.0137385,0.643,0.649332,-0.00267111,-0.0027707
0.232,0,-0.00313716,0,-0.003393,0,0.000414584,0,-0.000837166,-0.0140685,0.643,0.649636,-0.00267197,-0.00277449
0.234,0,-0.00276225,0,-0.00332483,0,0.00036552,0,-0.000840154,-0.0144009,0.643,0.649929,-0.00267449,-0.00278072
0.236,0,-0.00240736,0,-0.00325052,0,0.000328687,0,-0.000842884,-0.0147369,0.643,0.650209,-0.00267856,-0.0027892
0.238,0,-0.00207025,0,-0.00317031,0,0.000302241,0,-0.000845348,-0.0150773,0.643,0.650477,-0.00268406,-0.00279971
0.24,0,-0.00174884,0,-0.00308443,0,0.000284661,0,-0.000847539,-0.0154227,0.643,0.650732,-0.00269086,-0.00281206
0.242,0,-0.00144125,0,-0.00299311,0,0.000274692,0,-0.000849453,-0.0157736,0.643,0.650976,-0.00269887,-0.00282607
0.244,0,-0.000663294,0,-0.00286738,0,0.000174016,0,-0.000851191,-0.0160999,0.643,0.651204,-0.00270762,-0.00283856
0.246,0,3.29394e-05,0,-0.00273055,0,0.00020947,0,-0.000852829,-0.0163712,0.643,0.651411,-0.00271459,-0.0028491
0.248,0,0.000581998,0,-0.00258892,0,0.000240059,0,-0.000854336,-0.0165921,0.643,0.651599,-0.00271899,-0.00285512
0.25,0,0.000963635,0,-0.0024427,0,0.000265359,0,-0.000855685,-0.0167709,0.643,0.651768,-0.00272126,-0.00285815
0.252,0,0.00122812,0,-0.00229177,0,0.000288767,0,-0.000856855,-0.0169149,0.643,0.651919,-0.00272175,-0.00285868
0.254,0,0.00146264,0,-0.00213906,0,0.000315328,0,-0.000857837,-0.0170267,0.643,0.652051,-0.00272082,-0.00285713
0.256,0,0.00167561,0,-0.00199457,0,0.000345465,0,-0.000858685,-0.0171066,0.643,0.652166,-0.00271878,-0.0028539
0.258,0,0.0018686,0,-0.00186336,0,0.000378767,0,-0.000859511,-0.017155,0.643,0.652262,-0.0027159,-0.00284937
0.26,0,0.00201821,0,-0.00174564,0,0.000413903,0,-0.000860418,-0.0171724,0.643,0.65234,-0.00271244,-0.00284383
0.262,0,0.00215302,0,-0.00164192,0,0.000455617,0,-0.000861455,-0.0171585,0.643,0.652402,-0.0027087,-0.00283765
0.264,0,0.00209806,0,-0.00150857,0,0.000375325,0,-0.000862624,-0.0171306,0.643,0.65245,-0.00270514,-0.00283141
0.266,0,0.00202443,0,-0.00137859,0,0.000359984,0,-0.00086396,-0.0171048,0.643,0.652486,-0.00270208,-0.00282555
0.268,0,0.00193633,0,-0.00125519,0,0.000391295,0,-0.000865509,-0.0170761,0.643,0.652511,-0.00269949,-0.00282015
0.27,0,0.00183331,0,-0.00113916,0,0.000451407,0,-0.000867305,-0.0170405,0.643,0.652525,-0.00269733,-0.00281524
0.272,0,0.00171524,0,-0.00103097,0,0.000527196,0,-0.000869381,-0.0169947,0.643,0.652526,-0.00269559,-0.00281084
0.274,0,0.00158223,0,-0.000930433,0,0.000609193,0,-0.00087176,-0.0169364,0.643,0.652516,-0.00269425,-0.00280698
0.276,0,0.00143467,0,-0.000830466,0,0.000691233,0,-0.000874504,-0.0168634,0.643,0.652494,-0.00269328,-0.00280366
0.278,0,0.00127297,0,-0.000728458,0,0.000768847,0,-0.000877728,-0.0167742,0.643,0.65246,-0.00269268,-0.00280089
0.28,0,0.00109753,0,-0.000624377,0,0.0008389,0,-0.000881539,-0.0166675,0.643,0.652414,-0.00269244,-0.00279867
0.282,0,0.000908821,0,-0.000518119,0,0.000899409,0,-0.000886029,-0.0165423,0.643,0.652356,-0.00269254,-0.002797
0.284,0,0.000593933,0,-0.00044888,0,0.00100982,0,-0.000890559,-0.0164091,0.643,0.652291,-0.00269354,-0.00279629
0.286,0,0.000255615,0,-0.000387072,0,0.00109266,0,-0.000894487,-0.0162781,0.643,0.652222,-0.00269593,-0.00279689
0.288,0,-0.000107331,0,-0.000331168,0,0.00115513,0,-0.000897883,-0.0161478,0.643,0.652151,-0.00269947,-0.00279851
0.29,0,-0.000490765,0,-0.000279964,0,0.00120279,0,-0.00090081,-0.0160168,0.643,0.652075,-0.002704,-0.00280094
0.292,0,-0.000890374,0,-0.000232258,0,0.00124021,0,-0.000903324,-0.0158838,0.643,0.651997,-0.00270934,-0.00280402
0.294,0,-0.0012953,0,-0.000187527,0,0.001272,0,-0.000905482,-0.0157478,0.643,0.651915,-0.00271535,-0.0028076
0.296,0,-0.00170097,0,-0.000149661,0,0.00129822,0,-0.000907338,-0.0156075,0.643,0.651829,-0.00272192,-0.00281159
0.298,0,-0.00210729,0,-0.000117825,0,0.00132033,0,-0.000908938,-0.0154621,0.643,0.65174,-0.00272895,-0.00281588
